Name,Estimate!!Total,State,County,State
"Phillips County, Colorado",4290,08,095
"Archuleta County, Colorado",13253,08,007
"Denver County, Colorado",705576,08,031
"Kiowa County, Colorado",1489,08,061
"Huerfano County, Colorado",6679,08,055
"Baca County, Colorado",3561,08,009
"Gilpin County, Colorado",6018,08,047
"Kit Carson County, Colorado",7447,08,063
"Gunnison County, Colorado",16802,08,051
"Mineral County, Colorado",824,08,079
"Ouray County, Colorado",4796,08,091
"Sedgwick County, Colorado",2322,08,115
"Weld County, Colorado",305345,08,123
"Custer County, Colorado",4776,08,027
"Costilla County, Colorado",3745,08,023
"Douglas County, Colorado",336041,08,035
"Lake County, Colorado",7751,08,065
"La Plata County, Colorado",55617,08,067
"Pitkin County, Colorado",17926,08,097
"Rio Grande County, Colorado",11305,08,105
"Bent County, Colorado",5787,08,011
"Crowley County, Colorado",5754,08,025
"San Juan County, Colorado",589,08,111
"Larimer County, Colorado",344786,08,069
"Logan County, Colorado",22380,08,075
"San Miguel County, Colorado",8049,08,113
"Teller County, Colorado",24524,08,119
"Elbert County, Colorado",25717,08,039
"Las Animas County, Colorado",14266,08,071
"Lincoln County, Colorado",5585,08,073
"Summit County, Colorado",30649,08,117
"Alamosa County, Colorado",16107,08,003
"Delta County, Colorado",30565,08,029
"Fremont County, Colorado",47321,08,043
"Montrose County, Colorado",41686,08,085
"Morgan County, Colorado",28517,08,087
"Saguache County, Colorado",6592,08,109
"Prowers County, Colorado",12022,08,099
"Washington County, Colorado",4868,08,121
"Grand County, Colorado",15303,08,049
"Otero County, Colorado",18282,08,089
"Broomfield County, Colorado",67886,08,014
"Hinsdale County, Colorado",857,08,053
"Dolores County, Colorado",1857,08,033
"Jackson County, Colorado",1261,08,057
"Montezuma County, Colorado",26031,08,083
"Boulder County, Colorado",322510,08,013
"Yuma County, Colorado",10003,08,125
"Routt County, Colorado",25072,08,107
"Clear Creek County, Colorado",9495,08,019
"Pueblo County, Colorado",165982,08,101
"Park County, Colorado",17867,08,093
"Mesa County, Colorado",151218,08,077
"El Paso County, Colorado",698974,08,041
"Arapahoe County, Colorado",644560,08,005
"Chaffee County, Colorado",19557,08,015
"Garfield County, Colorado",59055,08,045
"Jefferson County, Colorado",574798,08,059
"Rio Blanco County, Colorado",6384,08,103
"Conejos County, Colorado",8128,08,021
"Adams County, Colorado",504108,08,001
"Eagle County, Colorado",54681,08,037
"Moffat County, Colorado",13127,08,081
"Cheyenne County, Colorado",2026,08,017
