Name,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County,State
"Phillips County, Colorado",1696,934,298,409,2,0,9,0,41,3,08,095
"Archuleta County, Colorado",5553,2437,1435,675,0,20,852,57,57,20,08,007
"Denver County, Colorado",287262,195093,3306,82257,308,35,301,610,2841,2511,08,031
"Kiowa County, Colorado",576,336,158,57,2,0,16,0,4,3,08,061
"Huerfano County, Colorado",3173,1015,1000,526,0,23,547,31,25,6,08,055
"Baca County, Colorado",1603,1033,346,180,0,0,17,5,18,4,08,009
"Chaffee County, Colorado",7900,3916,1700,1191,16,6,971,48,40,12,08,015
"Gilpin County, Colorado",2603,1239,353,488,21,0,467,0,35,0,08,047
"Kit Carson County, Colorado",2995,1941,527,439,0,0,22,0,52,14,08,063
"Garfield County, Colorado",21055,14414,1384,3994,34,84,819,54,225,47,08,045
"Gunnison County, Colorado",6495,3159,752,1683,16,45,776,40,24,0,08,051
"Jefferson County, Colorado",227805,173263,4756,44485,151,22,2606,476,1125,921,08,059
"Mineral County, Colorado",404,21,171,90,0,0,114,5,3,0,08,079
"Ouray County, Colorado",2204,909,656,225,0,0,359,37,12,6,08,091
"Rio Blanco County, Colorado",2417,1463,290,476,0,0,136,0,41,11,08,103
"Sedgwick County, Colorado",998,562,197,221,1,4,9,0,4,0,08,115
"Weld County, Colorado",99817,74409,7418,15415,196,3,1166,152,737,321,08,123
"Conejos County, Colorado",2992,1216,388,304,30,2,1020,5,27,0,08,021
"Custer County, Colorado",2093,80,1020,262,3,11,646,44,12,15,08,027
"Costilla County, Colorado",1568,109,679,177,96,0,450,5,52,0,08,023
"Adams County, Colorado",162508,119563,2731,38685,96,18,319,231,506,359,08,001
"Douglas County, Colorado",113799,89726,3129,19947,28,0,411,153,243,162,08,035
"Eagle County, Colorado",17765,11467,607,4934,6,6,445,102,183,15,08,037
"Lake County, Colorado",3324,2010,392,523,71,0,289,0,39,0,08,065
"La Plata County, Colorado",21818,10193,5285,3317,22,152,2352,244,220,33,08,067
"Moffat County, Colorado",5103,3360,543,686,0,99,317,24,61,13,08,081
"Pitkin County, Colorado",7340,3783,510,2755,16,0,204,0,49,23,08,097
"Rio Grande County, Colorado",4750,1775,927,816,14,0,1097,76,39,6,08,105
"Cheyenne County, Colorado",776,400,257,83,0,0,18,0,18,0,08,017
"Bent County, Colorado",1760,1126,369,155,0,9,88,0,13,0,08,011
"Crowley County, Colorado",1215,721,215,203,0,0,74,0,0,2,08,025
"Dolores County, Colorado",707,205,248,66,6,0,182,0,0,0,08,033
"San Juan County, Colorado",255,13,126,36,0,6,69,0,5,0,08,111
"Jackson County, Colorado",597,122,77,199,0,0,188,0,11,0,08,057
"Larimer County, Colorado",130502,93933,5856,27649,127,40,1748,260,546,343,08,069
"Logan County, Colorado",8151,4900,1127,1944,11,0,94,0,69,6,08,075
"Montezuma County, Colorado",10520,4115,2761,1501,19,25,1839,25,224,11,08,083
"San Miguel County, Colorado",3301,1427,471,968,0,3,399,23,3,7,08,113
"Teller County, Colorado",10076,5403,1607,1222,18,0,1589,71,90,76,08,119
"Boulder County, Colorado",125026,90069,3573,28059,136,49,1563,635,510,432,08,013
"Elbert County, Colorado",8866,3222,3768,1087,21,0,531,17,199,21,08,039
"Las Animas County, Colorado",6327,3316,1456,781,2,1,657,18,95,1,08,071
"Yuma County, Colorado",4053,2508,920,472,3,0,73,0,49,28,08,125
"Lincoln County, Colorado",1477,860,349,189,9,0,37,0,32,1,08,073
"Routt County, Colorado",9478,4110,1548,2858,0,68,726,27,141,0,08,107
"Summit County, Colorado",9455,4999,224,3834,0,0,301,3,50,44,08,117
"Alamosa County, Colorado",6049,3074,614,1502,87,0,541,62,127,42,08,003
"Clear Creek County, Colorado",4374,2256,691,735,17,0,546,53,61,15,08,019
"Delta County, Colorado",12119,6336,1828,2299,16,145,1217,86,163,29,08,029
"Fremont County, Colorado",16762,11313,2018,1880,10,35,1325,43,115,23,08,043
"Pueblo County, Colorado",63489,47558,2941,10894,23,0,1110,47,658,258,08,101
"Montrose County, Colorado",16951,9858,2065,2905,18,38,1775,61,152,79,08,085
"Morgan County, Colorado",10599,5513,1413,3266,24,0,228,7,117,31,08,087
"Park County, Colorado",7389,2780,2110,827,0,8,1468,26,170,0,08,093
"Saguache County, Colorado",2626,640,853,321,34,14,660,36,51,17,08,109
"Mesa County, Colorado",60562,45317,2445,9911,42,39,1819,205,635,149,08,077
"Prowers County, Colorado",4913,3801,463,498,3,0,73,0,27,48,08,099
"Hinsdale County, Colorado",368,26,156,77,0,0,102,5,2,0,08,053
"El Paso County, Colorado",249745,179449,9971,56213,103,70,1665,245,1136,893,08,041
"Washington County, Colorado",2012,854,620,438,10,0,55,0,24,11,08,121
"Grand County, Colorado",5724,2653,710,1707,0,20,564,15,41,14,08,049
"Arapahoe County, Colorado",235263,167503,2753,62067,202,27,618,321,952,820,08,005
"Otero County, Colorado",7490,5932,470,860,0,0,170,3,29,26,08,089
"Broomfield County, Colorado",25938,19014,407,6153,0,0,61,43,184,76,08,014
